	StreetAddress	ExtendedAddress	Locality	Latitude	Longitude
1369	Resort Marga, Bhattedanda	 	Dhulikhel 45200, 	27.6184983	85.5758369
1370	Khawa	 	Dhulikhel 11580, 	27.6290143	85.5792189
1371	Kavre	 	Dhulikhel 49200, 		
1372	 	Sanjibani Bazar	Dhulikhel, 	27.6253491	85.5560635
1373	Kavre	 	Dhulikhel, 	27.6253491	85.5560635
1374	411924	 	Dhulikhel, 	27.6253491	85.5560635
1375	 	 	Dhulikhel, 	27.6253491	85.5560635
1376	Dhulikhel-3 Bhimsenthan	 	Dhulikhel, 	27.7030265	85.3036042
1377	Dhuleikhel-16	 	Dhulikhel, 	27.6162815	85.55848189999999
1378	Kavre District, Phulbari	near Kathmandu	Dhulikhel 4556, 		
1379	Dhulikhel	 	Dhulikhel, 	27.6253491	85.5560635
1380	Dhulikhel-6 Arniko Highway	 	Dhulikhel, 		
1381	Dabali Street	 	Dhulikhel, 	27.6253491	85.5560635
1382	Arniko marg	 	Dhulikhel, 	27.6227827	85.55219919999999
1383	Panauti-5, Kavre	 	Dhulikhel, 	27.6253491	85.5560635
1384	Arniko Highway	 	Dhulikhel, 	27.6227827	85.55219919999999
1385	 	Sanjibani Bazar	Dhulikhel, 	27.6253491	85.5560635
1386	Kavre	 	Dhulikhel, 	27.6253491	85.5560635
1387	411924	 	Dhulikhel, 	27.6253491	85.5560635
1388	 	 	Dhulikhel, 	27.6253491	85.5560635
1389	Dhulikhel-3 Bhimsenthan	 	Dhulikhel, 	27.7030265	85.3036042
1390	Dhuleikhel-16	 	Dhulikhel, 	27.6162815	85.55848189999999
1391	Kavre District, Phulbari	near Kathmandu	Dhulikhel 4556, 	27.6253491	85.5560635
1392	Dhulikhel	 	Dhulikhel, 	27.6253491	85.5560635
1393	Dhulikhel-6 Arniko Highway	 	Dhulikhel, 	27.6657755	85.4249687
1394	Dabali Street	 	Dhulikhel, 	27.6253491	85.5560635
1395	Arniko marg	 	Dhulikhel, 		
1396	Panauti-5, Kavre	 	Dhulikhel, 		
1397	Arniko Highway	 	Dhulikhel, 		
1398	Dhulikhel Road-1, Way to Dhulikhel Picnic Spot	 	Dhulikhel, 	27.6158506	85.56233569999999
1399	 	 	Dhulikhel, 	27.6253491	85.5560635
1400	Dhulikhel Height, Dhulikhel-1	Kavre	Dhulikhel, 	27.6253491	85.5560635
1401	Dhulikhel Road	 	Dhulikhel 45200, 	27.6162815	85.55848189999999
1402	Naya Gaon	 	Dhulikhel, 	30.7761322	76.7943229
1403	Araniko Highway	 	Dhulikhel 45200, 	27.6227827	85.55219919999999
